,Generator,Factual,Dimension,Property,Model,Value
0,CBG-CBGW-IM,0,Activity,Plausibility,CF,0.0
1,CBG-CBGW-IM,0,Activity,Plausibility,D4EL,0.0
2,CBG-CBGW-IM,0,Activity,Proximity,CF,4.114942984127268
3,CBG-CBGW-IM,0,Activity,Proximity,D4EL,4.242640687119285
4,CBG-CBGW-IM,0,Activity,Sparsity,CF,4.160333841739944
5,CBG-CBGW-IM,0,Activity,Sparsity,D4EL,4.242640687119285
6,CBG-CBGW-IM,0,Resource,Plausibility,CF,0.0
7,CBG-CBGW-IM,0,Resource,Plausibility,D4EL,1.0
8,CBG-CBGW-IM,0,Resource,Proximity,CF,9.0
9,CBG-CBGW-IM,0,Resource,Proximity,D4EL,13.0
10,CBG-CBGW-IM,0,Resource,Sparsity,CF,13.8
11,CBG-CBGW-IM,0,Resource,Sparsity,D4EL,16.0
12,CBG-CBGW-IM,1,Activity,Plausibility,CF,0.0
13,CBG-CBGW-IM,1,Activity,Plausibility,D4EL,0.0
14,CBG-CBGW-IM,1,Activity,Proximity,CF,3.8623512803090354
15,CBG-CBGW-IM,1,Activity,Proximity,D4EL,3.7416573867739413
16,CBG-CBGW-IM,1,Activity,Sparsity,CF,3.728349742925793
17,CBG-CBGW-IM,1,Activity,Sparsity,D4EL,3.3166247903554
18,CBG-CBGW-IM,1,Resource,Plausibility,CF,0.0
19,CBG-CBGW-IM,1,Resource,Plausibility,D4EL,0.0
20,CBG-CBGW-IM,1,Resource,Proximity,CF,7.84
21,CBG-CBGW-IM,1,Resource,Proximity,D4EL,5.0
22,CBG-CBGW-IM,1,Resource,Sparsity,CF,12.08
23,CBG-CBGW-IM,1,Resource,Sparsity,D4EL,11.0
24,CBG-CBGW-IM,2,Activity,Plausibility,CF,0.0
25,CBG-CBGW-IM,2,Activity,Plausibility,D4EL,0.0
26,CBG-CBGW-IM,2,Activity,Proximity,CF,3.791797697993075
27,CBG-CBGW-IM,2,Activity,Proximity,D4EL,3.7416573867739413
28,CBG-CBGW-IM,2,Activity,Sparsity,CF,3.819917927486786
29,CBG-CBGW-IM,2,Activity,Sparsity,D4EL,3.7416573867739413
30,CBG-CBGW-IM,2,Resource,Plausibility,CF,0.0
31,CBG-CBGW-IM,2,Resource,Plausibility,D4EL,0.0
32,CBG-CBGW-IM,2,Resource,Proximity,CF,7.68
33,CBG-CBGW-IM,2,Resource,Proximity,D4EL,5.0
34,CBG-CBGW-IM,2,Resource,Sparsity,CF,13.24
35,CBG-CBGW-IM,2,Resource,Sparsity,D4EL,12.0
36,CBG-CBGW-IM,3,Activity,Plausibility,CF,0.0
37,CBG-CBGW-IM,3,Activity,Plausibility,D4EL,0.0
38,CBG-CBGW-IM,3,Activity,Proximity,CF,4.179552749049521
39,CBG-CBGW-IM,3,Activity,Proximity,D4EL,4.242640687119285
