,num_instance,num_cycle,num_offspring,avg_offspring_fitness,num_survivors,avg_survivors_fitness,median_survivors_fitness,max_survivors_fitness,mut_num_o.1,mut_num_o.3,mut_num_o.2,mut_num_o.4,mut_num_o.0,mut_num_s.1,mut_num_s.0,mut_num_s.4,mut_num_s.2,mut_num_s.3
0,0,0,100,0.7844731678803442,5,1.08485334214957,1.0473907645972418,1.23906359749577,17,24,21,18,20,4.0,1.0,,,
1,0,1,100,0.7696079721498796,5,1.0183632460678416,1.0187833255948082,1.0476327801091638,20,18,12,29,21,3.0,,1.0,1.0,
2,0,2,100,0.9094209954777136,5,1.1246983017521415,1.1113118333576761,1.1760980640585579,20,16,21,26,17,3.0,1.0,1.0,,
3,0,3,100,1.048269651742264,5,1.32051343749553,1.3069189590899644,1.3908647236682437,25,21,15,27,12,2.0,,1.0,2.0,
4,0,4,100,1.2509435720266564,5,1.4825910670044855,1.4877413629208567,1.5004969247214595,19,18,20,17,26,,2.0,,,3.0
5,0,5,100,1.414820806121535,5,1.5169181235348312,1.5084618536095022,1.5434192664259299,21,21,17,21,20,2.0,1.0,1.0,,1.0
6,0,6,100,1.4439054287592419,5,1.5752987016537106,1.5441730267637594,1.6244895957902425,16,20,23,14,27,,2.0,2.0,,1.0
7,0,7,100,1.4795682177334206,5,1.633757002969615,1.6298228854905248,1.6522096455006205,19,23,13,19,26,,2.0,1.0,,2.0
8,0,8,100,1.5388079161962418,5,1.6541935939877075,1.6482090015499633,1.6634578962414306,15,25,22,16,22,1.0,2.0,,,2.0
9,0,9,100,1.6073312004715254,5,1.667577869848212,1.6699652385272585,1.6699652385272585,32,13,19,21,15,2.0,1.0,,,2.0
10,0,10,100,1.6103098508311382,5,1.6843579815694345,1.6843579815694343,1.6843579815694343,25,21,21,18,15,2.0,1.0,,,2.0
11,0,11,100,1.6443821363417195,5,1.674535067037543,1.6744700979747378,1.6747949432887637,16,20,26,20,18,,2.0,,1.0,2.0
12,0,12,100,1.6427729295589242,5,1.678727920011481,1.6747949432887637,1.687267513231238,21,22,20,15,22,2.0,1.0,,,2.0
13,0,13,100,1.6441587723689524,5,1.6847626992388043,1.6847626992388043,1.6847626992388043,22,24,14,26,14,2.0,,1.0,,2.0
14,0,14,100,1.6378857060039687,5,1.684407862067912,1.6844078620679122,1.6844078620679122,23,19,23,19,16,1.0,2.0,1.0,,1.0
15,0,15,100,1.6373935247279456,5,1.6838167434126041,1.6838167434126041,1.6838167434126041,20,23,23,20,14,,2.0,,1.0,2.0
16,0,16,100,1.656752419822067,5,1.6931020982812115,1.6931020982812113,1.6931020982812113,24,18,17,15,26,1.0,1.0,1.0,,2.0
